"","gender","yearsExperience","yearsSchool","wage"
"1","female",9,13,6.3152956461
"2","female",12,12,5.4797699786
"3","female",11,11,3.6421699174
"4","female",9,14,4.5933365997
"5","female",8,14,2.4181574607
"6","female",9,14,2.0940581101
"7","female",8,12,5.5120039196
"8","female",10,12,3.5484271597
"9","female",12,10,5.8182263596
"10","female",7,12,3.8277804998
"11","female",10,14,6.7368936796
"12","female",10,13,12.861342479
"13","female",10,13,7.6555609995
"14","female",9,10,2.4497795198
"15","female",10,13,6.1056621468
"16","female",3,15,8.2680058795
"17","female",9,14,1.8624054829
"18","female",13,11,3.9808917197
"19","female",10,12,4.7634601775
"20","female",11,12,6.3805955861
"21","female",8,14,5.6311238472
"22","female",7,11,2.4880573248
"23","female",7,14,1.2237382772
"24","female",5,12,1.3456535391
"25","female",5,14,0.7511116452
"26","female",10,14,11.330230279
"27","female",11,12,3.8947576562
"28","female",6,13,2.9985152513
"29","female",11,12,3.2678961879
"30","female",9,12,1.3551971812
"31","female",10,14,4.2871141597
"32","female",11,12,7.6249387555
"33","female",11,13,4.4437861058
"34","female",5,12,1.1342814763
"35","female",5,15,9.0641842234
"36","female",12,12,3.9808917197
"37","female",11,12,3.4507052379
"38","female",4,14,8.0967289215
"39","female",10,13,8.7352138308
"40","female",9,15,7.2758451739
"41","female",12,12,5.5120039196
"42","female",8,15,9.786358811
"43","female",7,14,7.0431161195
"44","female",8,11,0.7852717913
"45","female",9,12,4.0087301234
"46","female",10,12,3.6121512769
"47","female",15,7,3.1847133758
"48","female",6,15,5.8182263596
"49","female",10,12,2.2747952684
"50","female",7,16,5.4478926684
"51","female",9,12,2.4035572648
"52","female",8,14,9.0335619794
"53","female",10,13,4.9740959419
"54","female",7,14,9.3276123977
"55","female",10,12,5.8734467996
"56","female",9,12,3.2832096658
"57","female",8,14,2.1435570799
"58","female",5,13,2.5605735685
"59","female",5,14,9.1866731994
"60","female",3,12,2.8351910828
"61","female",10,12,5.8976173626
"62","female",7,12,2.5332947307
"63","female",8,14,8.2680058795
"64","female",8,15,14.102051849
"65","female",9,11,0.7293236738
"66","female",7,11,4.5933365997
"67","female",7,12,3.3777263077
"68","female",10,13,3.1847133758
"69","female",13,9,5.0074109682
"70","female",5,12,2.3189660503
"71","female",9,12,3.387992953
"72","female",10,11,2.4497795198
"73","female",9,13,5.8182263596
"74","female",10,13,5.3588926997
"75","female",7,11,7.1432823382
"76","female",6,12,5.5996360328
"77","female",8,12,3.8277804998
"78","female",6,12,8.0713228206
"79","female",9,12,3.9439174932
"80","female",11,12,6.3455414013
"81","female",7,13,5.4836124351
"82","female",9,13,6.9801937004
"83","female",9,13,10.047012436
"84","female",11,12,5.5120039196
"85","female",8,15,6.2556869882
"86","female",11,12,3.2344745223
"87","female",8,10,1.9183214687
"88","female",4,14,11.091041607
"89","female",8,14,5.1844171234
"90","female",9,14,5.1366344771
"91","female",9,13,4.241819428
"92","female",7,12,3.9028350194
"93","female",11,12,6.7803575098
"94","female",9,12,1.0261854211
"95","female",10,12,4.593064402
"96","female",11,8,0.4386814489
"97","female",9,13,7.3493385595
"98","female",8,12,4.5933365997
"99","female",7,13,4.7245747883
"100","female",6,13,4.8172135096
"101","female",4,12,8.5304822566
"102","female",7,14,6.195187114
"103","female",10,13,4.7046902142
"104","female",10,12,5.083341382
"105","female",6,12,5.790387956
"106","female",7,16,5.103707333
"107","female",7,14,6.9908342396
"108","female",9,12,4.3162052915
"109","female",8,13,7.7100274414
"110","female",5,12,5.7109839017
"111","female",8,12,1.9819297555
"112","female",6,12,5.8175870643
"113","female",9,13,3.6746692798
"114","female",7,13,2.7560019598
"115","female",5,14,4.9481497078
"116","female",9,12,3.9808917197
"117","female",8,13,4.1571449409
"118","female",10,12,4.7444519565
"119","female",8,12,6.6136220264
"120","female",6,13,2.7375759677
"121","female",8,13,5.2495275425
"122","female",8,12,3.9851788339
"123","female",10,12,7.9617834395
"124","female",7,13,6.1182562326
"125","female",8,12,3.1429922399
"126","female",7,13,6.1244487996
"127","female",7,12,4.8621578256
"128","female",8,10,1.8094962362
"129","female",7,12,2.3810941127
"130","female",10,12,3.6746692798
"131","female",9,13,6.984020561
"132","female",9,13,12.248897599
"133","female",10,12,7.3493385595
"134","female",6,12,1.9780828421
"135","female",10,12,3.2153356198
"136","female",6,12,4.7278219187
"137","female",7,13,8.7296711824
"138","female",10,12,6.6546249644
"139","female",8,13,4.6267022409
"140","female",4,11,3.0622243998
"141","female",7,13,5.9061957151
"142","female",9,12,4.4795968363
"143","female",8,12,3.3684468398
"144","female",10,12,2.8070390332
"145","female",5,14,7.7241182622
"146","female",7,13,3.694563081
"147","female",7,14,6.498828198
"148","female",8,13,2.3891985138
"149","female",6,12,4.5933365997
"150","female",8,12,4.5933365997
"151","female",7,11,4.0829658664
"152","female",4,12,2.4560771536
"153","female",8,13,7.6555609995
"154","female",5,14,3.1649325474
"155","female",6,13,4.9425376278
"156","female",7,12,3.6746692798
"157","female",6,10,2.0220402386
"158","female",10,12,9.7991180794
"159","female",6,13,7.5826508948
"160","female",8,13,2.9903411979
"161","female",9,12,4.2871141597
"162","female",6,11,4.5933365997
"163","female",4,12,1.2132241432
"164","female",6,12,6.1244487996
"165","female",7,14,7.1463085564
"166","female",8,11,3.3616418967
"167","female",3,12,2.1435570799
"168","female",6,12,1.9598236159
"169","female",1,13,4.32211101
"170","female",8,12,0.1028907398
"171","female",5,9,2.5477707006
"172","female",8,12,7.9617834395
"173","female",8,12,6.5739496289
"174","female",7,11,4.2871141597
"175","female",4,11,3.2938447178
"176","female",6,12,6.9107704357
"177","female",9,12,4.4479237092
"178","female",5,11,0.7799298063
"179","female",7,12,4.7230918709
"180","female",8,12,3.9317449084
"181","female",8,10,1.3504084986
"182","female",6,13,3.5385704176
"183","female",6,12,2.87054786
"184","female",6,11,2.4811139091
"185","female",4,12,4.1340029397
"186","female",9,12,1.5329546935
"187","female",8,12,2.4497795198
"188","female",6,11,4.4613441687
"189","female",3,13,4.0429136911
"190","female",7,11,3.3684468398
"191","female",7,14,5.1087252083
"192","female",8,11,7.2599848992
"193","female",6,12,8.2680058795
"194","female",9,12,3.2153356198
"195","female",6,12,4.9146811355
"196","female",6,12,5.639596603
"197","female",9,12,4.303666724
"198","female",9,12,4.5933365997
"199","female",7,12,2.7186577598
"200","female",7,12,4.4053672057
"201","female",10,11,2.3828757021
"202","female",7,12,7.9617834395
"203","female",4,11,4.7890426704
"204","female",8,12,9.6096961834
"205","female",6,12,0.9312027415
"206","female",8,11,2.8201186031
"207","female",8,13,3.5107076584
"208","female",9,12,3.9808917197
"209","female",4,12,5.5120039196
"210","female",7,12,2.9488086813
"211","female",5,12,4.5933365997
"212","female",7,10,4.4785031847
"213","female",7,12,3.0421142694
"214","female",3,12,3.5783296357
"215","female",8,12,5.2037800258
"216","female",2,12,2.6154650912
"217","female",8,12,2.7997480227
"218","female",3,12,6.5486530455
"219","female",6,11,4.4855117969
"220","female",9,11,2.6211632723
"221","female",9,12,7.8340542934
"222","female",8,13,6.2784349409
"223","female",8,12,4.5933365997
"224","female",4,13,6.4306712396
"225","female",8,12,5.247725439
"226","female",7,12,12.535891451
"227","female",5,12,2.2798842959
"228","female",5,14,7.6555609995
"229","female",3,12,4.8995590397
"230","female",9,11,9.8369525121
"231","female",6,12,7.3493385595
"232","female",7,11,4.4605327626
"233","female",8,8,1.7646227374
"234","female",9,11,6.5870870183
"235","female",9,10,3.7913254474
"236","female",7,11,5.8182263596
"237","female",5,11,9.5601151994
"238","female",4,10,3.1376486461
"239","female",8,11,4.7938485336
"240","female",5,10,0.5188942364
"241","female",6,10,2.9433580183
"242","female",6,11,3.3924120742
"243","female",4,11,6.1372080679
"244","female",4,12,4.385411563
"245","female",9,11,3.6746692798
"246","female",6,12,2.8172464478
"247","female",4,11,3.9196472317
"248","female",7,11,2.9236712958
"249","female",8,10,6.0884226302
"250","female",3,10,1.7095431108
"251","female",8,11,9.1866731994
"252","female",2,11,2.5297811458
"253","female",5,12,4.8131688299
"254","female",4,11,4.0185657739
"255","female",9,10,3.1867050665
"256","female",5,11,1.5696087352
"257","female",7,11,3.0622243998
"258","female",4,11,4.8995590397
"259","female",5,11,5.1574305681
"260","female",7,10,1.7085372188
"261","female",5,11,5.7562599327
"262","female",5,11,5.7413645272
"263","female",7,11,9.9079971691
"264","female",3,10,2.3700192564
"265","female",8,11,4.7770700637
"266","female",8,11,3.3684468398
"267","female",7,12,7.9617834395
"268","female",4,11,3.0009799118
"269","female",6,11,4.8344795078
"270","female",8,10,5.0526702597
"271","female",4,12,6.4306712396
"272","female",6,11,0.7655561
"273","female",5,11,5.2002694757
"274","female",5,10,3.4805610664
"275","female",4,11,0.9295483203
"276","female",8,10,1.8761644785
"277","female",4,12,4.2871141597
"278","female",7,13,3.7555582262
"279","female",6,11,3.6746692798
"280","female",7,11,15.923566879
"281","female",5,12,5.4082564263
"282","female",5,12,5.1366344771
"283","female",2,11,1.7122114924
"284","female",4,10,4.4607615196
"285","female",9,10,2.9013278635
"286","female",9,10,6.0445247428
"287","female",9,10,8.2680058795
"288","female",7,11,6.2856185049
"289","female",8,12,5.6651151396
"290","female",7,10,5.6651151396
"291","female",3,12,3.1847133758
"292","female",4,11,5.861435661
"293","female",8,11,6.5118739952
"294","female",7,11,1.7777506882
"295","female",9,10,6.8243858053
"296","female",8,11,4.2462845011
"297","female",5,11,5.3895149437
"298","female",5,8,2.9785089126
"299","female",6,10,1.6331863466
"300","female",5,10,2.7560019598
"301","female",7,11,3.9709093713
"302","female",8,10,6.2605476618
"303","female",6,10,3.2570932252
"304","female",4,10,3.1551339946
"305","female",7,10,6.1244487996
"306","female",7,10,3.6938917385
"307","female",8,10,3.1154804763
"308","female",9,10,0.9186673199
"309","female",6,12,12.248897599
"310","female",8,10,1.7284740167
"311","female",5,11,5.5872164488
"312","female",5,10,4.4437861058
"313","female",3,9,3.2729404666
"314","female",7,9,3.6746692798
"315","female",9,14,5.1445369917
"316","female",8,15,5.2086433716
"317","female",11,12,6.451247451
"318","female",12,12,4.5933365997
"319","female",11,12,3.8964682412
"320","female",6,14,5.0179307392
"321","female",10,14,5.7569818716
"322","female",11,11,0.4246284501
"323","female",9,15,5.0906418422
"324","female",9,14,5.8674350834
"325","female",11,12,4.6083707763
"326","female",12,11,4.2871141597
"327","female",9,10,4.4729120447
"328","female",11,12,7.1237009722
"329","female",7,15,8.5495661095
"330","female",8,15,10.411562959
"331","female",6,14,3.0330603579
"332","female",3,14,5.9713375796
"333","female",13,11,5.4439544885
"334","female",7,14,2.2568834947
"335","female",9,13,5.6617126681
"336","female",10,10,2.5477707006
"337","female",11,12,5.9021715073
"338","female",12,12,2.8784909358
"339","female",11,12,3.7103456805
"340","female",9,13,7.6471356697
"341","female",10,13,4.4897275035
"342","female",9,12,4.2194335602
"343","female",9,14,6.1244487996
"344","female",4,14,3.9808917197
"345","female",13,11,5.1196337956
"346","female",8,12,3.3868201862
"347","female",8,13,1.6543965589
"348","female",10,13,8.9327326394
"349","female",7,12,5.1366344771
"350","female",10,13,3.9808917197
"351","female",14,9,5.7526182403
"352","female",9,14,8.1731582211
"353","female",9,12,7.593266606
"354","female",9,14,10.419403648
"355","female",11,12,4.491262453
"356","female",8,12,4.0143445913
"357","female",10,12,3.0896473049
"358","female",8,14,3.7733570803
"359","female",8,14,5.9713375796
"360","female",10,12,3.821656051
"361","female",9,13,5.8182263596
"362","female",10,12,4.0059287746
"363","female",11,12,5.5120039196
"364","female",11,12,6.7368936796
"365","female",4,16,9.4361877801
"366","female",7,13,7.0431161195
"367","female",8,13,7.3065743285
"368","female",11,12,6.6494015539
"369","female",13,10,9.1993096137
"370","female",11,12,7.6555609995
"371","female",11,12,7.6072100879
"372","female",7,14,7.2741748697
"373","female",8,14,3.3684468398
"374","female",11,12,2.8708353748
"375","female",10,12,5.6962353063
"376","female",10,12,6.2704201181
"377","female",15,6,4.303666724
"378","female",8,14,11.452719255
"379","female",7,14,1.2489072062
"380","female",7,13,5.0726044074
"381","female",7,12,7.0147871714
"382","female",9,12,6.4306712396
"383","female",9,12,6.7368936796
"384","female",9,12,3.6746692798
"385","female",9,10,0.4496065942
"386","female",8,13,7.4832849318
"387","female",10,9,3.2148526191
"388","female",7,13,3.2920013231
"389","female",9,12,5.0593272692
"390","female",7,12,3.0622243998
"391","female",11,9,3.0330603579
"392","female",7,12,3.6428749569
"393","female",9,12,3.4616449737
"394","female",9,12,4.5933365997
"395","female",9,13,6.8593826556
"396","female",10,12,5.1924674605
"397","female",7,13,9.0723661982
"398","female",4,15,7.9617834395
"399","female",6,9,2.4497795198
"400","female",8,14,14.698677119
"401","female",6,13,0.428711416
"402","female",7,11,7.9617834395
"403","female",7,13,7.3493385595
"404","female",5,13,5.0551005965
"405","female",7,13,5.1848808873
"406","female",12,9,3.6316906917
"407","female",9,12,4.9852787651
"408","female",9,11,0.07655561
"409","female",5,12,0.4747398821
"410","female",8,13,7.0929028414
"411","female",7,12,2.7322228697
"412","female",9,12,4.0227958431
"413","female",8,13,4.9358765258
"414","female",9,10,3.6746692798
"415","female",8,14,3.3093661681
"416","female",8,12,5.3737099145
"417","female",8,12,4.7574718275
"418","female",6,10,2.6628038259
"419","female",8,10,5.294280548
"420","female",9,12,3.2663726931
"421","female",6,10,4.8407643312
"422","female",5,11,1.1857975335
"423","female",6,12,4.1571268721
"424","female",6,12,6.7368936796
"425","female",9,11,2.8466711739
"426","female",5,10,2.7560019598
"427","female",8,12,3.9808917197
"428","female",7,11,6.0306274563
"429","female",9,12,5.3744943977
"430","female",12,8,2.1435570799
"431","female",12,9,4.5933365997
"432","female",7,12,3.3684468398
"433","female",8,12,5.7511753965
"434","female",10,8,6.1480953201
"435","female",1,12,2.7746776749
"436","female",8,11,4.7651571708
"437","female",4,11,2.4497795198
"438","female",9,12,7.0122129375
"439","female",4,12,8.1659317328
"440","female",6,9,3.5433038299
"441","female",8,12,2.370754374
"442","female",8,11,7.7307026536
"443","female",8,12,3.3684468398
"444","female",8,12,6.1244487996
"445","female",8,12,4.5933365997
"446","female",9,9,3.7467216186
"447","female",6,12,5.9713375796
"448","female",7,11,1.887237556
"449","female",4,11,1.8387490622
"450","female",10,9,2.6028907398
"451","female",9,10,3.0622243998
"452","female",9,11,5.8021093891
"453","female",8,11,7.3493385595
"454","female",5,8,1.4812620353
"455","female",8,9,4.8285041294
"456","female",8,11,6.4994150526
"457","female",5,11,3.6746692798
"458","female",9,11,5.7291140094
"459","female",8,10,6.8243858053
"460","female",6,11,3.2459578638
"461","female",7,11,4.7691215278
"462","female",9,11,3.4634552551
"463","female",9,9,5.5120039196
"464","female",9,11,5.8903453313
"465","female",5,10,3.256353145
"466","female",5,10,3.8602586373
"467","female",9,10,4.8459421872
"468","female",5,12,8.0978823017
"469","female",8,11,4.1030049627
"470","female",3,10,3.3684468398
"471","female",8,11,4.2871141597
"472","female",4,12,5.2764481966
"473","female",7,11,4.7770700637
"474","female",7,9,4.8745612895
"475","female",8,11,3.7359137678
"476","female",7,10,5.8182263596
"477","female",8,10,4.0194110759
"478","female",8,11,5.6816482761
"479","female",8,11,7.6555609995
"480","female",7,11,7.3493385595
"481","female",8,12,4.6834020232
"482","female",6,7,5.790387956
"483","female",6,9,2.0489723207
"484","female",7,11,2.3221868365
"485","female",4,11,9.9263793531
"486","female",5,11,4.9761146497
"487","female",6,10,3.7969757088
"488","female",6,11,4.8144292014
"489","female",4,11,2.2707006369
"490","female",3,10,5.5732484076
"491","female",10,10,7.3720217032
"492","female",9,11,6.4729946663
"493","female",8,9,1.5824662737
"494","female",5,9,3.2449772388
"495","female",10,5,0.6031654121
"496","female",6,8,1.9798395764
"497","female",5,10,7.3493385595
"498","female",4,10,4.9628450106
"499","female",8,10,3.2218890183
"500","female",4,11,5.1075591876
"501","female",5,10,4.6855553115
"502","female",9,6,2.211606511
"503","female",5,9,2.2747952684
"504","female",3,11,2.6444832302
"505","female",9,10,7.4138064416
"506","female",8,10,7.2633813834
"507","female",7,10,7.5886736516
"508","female",9,10,7.4694770008
"509","female",9,7,2.6589637293
"510","female",6,9,5.7259401448
"511","female",9,8,2.7560019598
"512","female",6,9,4.3366309798
"513","female",9,15,8.9825249061
"514","female",9,15,7.7025625833
"515","female",7,13,3.6396724295
"516","female",8,12,2.6710499281
"517","female",6,14,5.6140780663
"518","female",11,12,5.1113311567
"519","female",8,12,5.3973274524
"520","female",9,12,2.365304364
"521","female",9,15,7.0194928264
"522","female",10,12,4.5267665041
"523","female",10,13,9.624133828
"524","female",12,12,7.0914670311
"525","female",12,12,4.5495905369
"526","female",11,13,5.5201698514
"527","female",8,14,2.5225452482
"528","female",7,15,10.557060914
"529","female",7,15,7.6993070624
"530","female",11,12,6.0268480219
"531","female",6,16,5.0417626002
"532","female",9,15,5.010365193
"533","female",12,9,3.9808917197
"534","female",8,12,3.7784734967
"535","female",10,12,4.491262453
"536","female",8,10,0.22966683
"537","female",11,12,6.1703821656
"538","female",11,13,12.248897599
"539","female",12,12,3.9808917197
"540","female",14,7,0.4447923709
"541","female",8,13,4.4317494412
"542","female",10,12,3.0622243998
"543","female",11,12,2.5077992981
"544","female",10,12,3.1070374398
"545","female",10,13,6.6348195329
"546","female",9,12,6.0251334137
"547","female",10,12,5.6969622734
"548","female",11,12,12.312036247
"549","female",7,15,3.8901222017
"550","female",10,12,2.7560019598
"551","female",12,12,5.1751592357
"552","female",12,10,2.7052941579
"553","female",8,16,4.184513117
"554","female",11,13,3.9352151157
"555","female",11,12,4.382633086
"556","female",10,13,10.899087528
"557","female",10,12,7.3961922662
"558","female",9,15,6.4306712396
"559","female",7,10,14.091652105
"560","female",8,15,6.8243858053
"561","female",8,14,3.6053358971
"562","female",12,12,5.6927971477
"563","female",9,12,2.4115017148
"564","female",13,11,5.3588926997
"565","female",11,12,0.4258112592
"566","female",11,12,3.0622243998
"567","female",11,12,2.4566932908
"568","female",10,12,6.7368936796
"569","female",8,15,12.669745799
"570","female",3,15,2.4126616483
"571","female",8,12,2.5735057582
"572","female",10,14,9.8344211296
"573","female",6,14,0.6144141561
"574","female",11,12,6.6160240102
"575","female",10,14,15.127388535
"576","female",10,12,9.3927030438
"577","female",12,12,4.9608035277
"578","female",12,12,4.8932855966
"579","female",10,12,2.211606511
"580","female",12,12,3.3684468398
"581","female",11,12,5.5271885034
"582","female",12,12,7.5456271436
"583","female",8,12,5.1328713749
"584","female",7,16,9.3668040465
"585","female",6,16,5.9323092294
"586","female",12,12,3.7945521073
"587","female",10,13,3.8996490316
"588","female",10,12,8.5742283195
"589","female",11,13,6.2775600196
"590","female",10,14,3.6746692798
"591","female",11,12,1.1961364792
"592","female",5,12,3.0622243998
"593","female",8,14,5.7124903602
"594","female",12,12,6.7924085572
"595","female",11,13,3.116157902
"596","female",10,12,7.5636942675
"597","female",10,12,3.8496535312
"598","female",12,12,5.3725249076
"599","female",11,13,3.0547250747
"600","female",11,13,9.5903300521
"601","female",8,15,12.395985811
"602","female",9,13,5.925048141
"603","female",12,12,4.948500251
"604","female",11,12,3.9196472317
"605","female",10,13,3.0622243998
"606","female",3,15,3.2685216225
"607","female",8,12,11.15418936
"608","female",11,12,2.9856687898
"609","female",10,12,6.1030132288
"610","female",7,12,4.1449631789
"611","female",10,10,6.3694267516
"612","female",6,13,2.9890654551
"613","female",9,15,6.2729202857
"614","female",6,16,5.3674944536
"615","female",10,12,4.3711752217
"616","female",10,12,4.4096031357
"617","female",12,11,4.0693559802
"618","female",10,11,3.9602653378
"619","female",7,16,6.7368936796
"620","female",7,14,0.9621490561
"621","female",8,12,6.5327453862
"622","female",10,14,5.5028172464
"623","female",9,10,2.7513722469
"624","female",16,8,2.8640234285
"625","female",8,15,6.5550457686
"626","female",9,15,4.7770700637
"627","female",9,15,4.9631896766
"628","female",9,15,6.1244487996
"629","female",8,15,6.7082260469
"630","female",8,15,6.0938265556
"631","female",5,14,8.9171974522
"632","female",7,15,5.2588758998
"633","female",8,15,3.0219907946
"634","female",12,10,3.821656051
"635","female",13,10,5.5120039196
"636","female",8,15,5.5120039196
"637","female",10,12,3.1070374398
"638","female",7,12,8.0830288726
"639","female",9,9,21.231422505
"640","female",9,14,5.8182263596
"641","female",7,14,4.9307146543
"642","female",9,15,4.4136348214
"643","female",8,15,7.4173205482
"644","female",10,12,3.6746692798
"645","female",8,15,5.8182263596
"646","female",11,12,3.2235513438
"647","female",13,9,1.6211776234
"648","female",6,12,1.0158575361
"649","female",12,9,6.3796341663
"650","female",12,12,3.5850431998
"651","female",11,11,2.7560019598
"652","female",10,14,0.7729886834
"653","female",9,12,2.1373915274
"654","female",11,11,3.5521803038
"655","female",11,12,4.3051584629
"656","female",10,10,3.574678279
"657","female",6,16,10.128063739
"658","female",8,15,4.444599986
"659","female",12,12,4.7464478197
"660","female",10,14,5.9158762399
"661","female",10,14,5.3106215751
"662","female",9,15,8.6984494628
"663","female",9,15,15.311121999
"664","female",11,12,2.8100412139
"665","female",8,15,8.0223293212
"666","female",7,15,7.8723251986
"667","female",7,15,12.948834605
"668","female",9,15,3.5276825086
"669","female",9,14,7.1700863995
"670","female",9,15,8.3598726115
"671","female",9,15,7.111342906
"672","female",8,15,11.18476047
"673","female",9,15,8.5742283195
"674","female",7,14,2.9973772949
"675","female",8,14,9.3178656763
"676","female",11,10,6.244536031
"677","female",7,13,2.1231422505
"678","female",3,14,2.3945213352
"679","female",9,15,7.1432823382
"680","female",8,15,5.9028226736
"681","female",7,15,7.7361458521
"682","female",11,13,3.651263743
"683","female",6,12,2.6650321136
"684","female",9,12,32.497400234
"685","female",12,12,8.4211170995
"686","female",7,13,6.0884226302
"687","female",10,14,1.5596049832
"688","female",12,12,6.0325820676
"689","female",12,12,5.8794708476
"690","female",7,16,8.7273395394
"691","female",7,12,2.7560019598
"692","female",9,14,11.777786153
"693","female",11,12,7.6629607191
"694","female",9,15,6.87701603
"695","female",9,14,7.0431161195
"696","female",8,12,5.854252529
"697","female",11,12,0.91121985
"698","female",11,12,1.6331863466
"699","female",8,15,9.0165496216
"700","female",8,12,2.7014275422
"701","female",9,12,7.9268122092
"702","female",10,12,5.8182263596
"703","female",9,14,8.2719827943
"704","female",13,9,6.7691276206
"705","female",9,12,8.2935244161
"706","female",13,9,7.2052338819
"707","female",10,12,6.4245873501
"708","female",11,12,7.2831283022
"709","female",8,14,5.0685093514
"710","female",9,12,8.3698117629
"711","female",10,12,7.232505774
"712","female",10,12,5.1753277034
"713","female",5,12,4.1082473888
"714","female",9,13,4.2871141597
"715","female",7,14,8.7160576601
"716","female",6,14,6.7368936796
"717","female",8,12,4.1739362723
"718","female",13,10,3.4450024498
"719","female",10,13,9.1866731994
"720","female",10,12,7.5191252589
"721","female",10,12,3.0115492915
"722","female",11,12,4.1449631789
"723","female",9,13,16.003584803
"724","female",10,8,3.0944583409
"725","female",9,14,11.024007839
"726","female",7,11,1.8115548213
"727","female",8,14,7.6555609995
"728","female",11,12,6.4306712396
"729","female",9,12,4.0727584517
"730","female",7,12,1.9035068453
"731","female",11,12,6.0504053772
"732","female",8,12,2.6265677326
"733","female",10,12,3.7913254474
"734","female",11,12,5.092407612
"735","female",7,13,7.3065743285
"736","female",3,15,4.4855117969
"737","female",8,14,12.283894449
"738","female",4,12,2.9856687898
"739","female",9,14,15.311121999
"740","female",7,12,1.2156505914
"741","female",8,12,4.3967510941
"742","female",9,13,3.5521803038
"743","female",9,13,6.1863972472
"744","female",7,12,2.562413061
"745","female",9,10,2.5971548023
"746","female",9,10,4.644373673
"747","female",6,12,2.578715284
"748","female",8,13,4.2062252133
"749","female",11,11,4.5933365997
"750","female",6,12,1.5923566879
"751","female",10,12,2.7408197434
"752","female",7,13,4.4402253797
"753","female",9,12,1.6939964765
"754","female",8,14,6.3694267516
"755","female",5,12,1.9200974615
"756","female",9,14,7.2624375968
"757","female",5,12,3.6746692798
"758","female",10,12,3.6746692798
"759","female",9,13,3.821656051
"760","female",9,14,7.6555609995
"761","female",8,14,9.6708573715
"762","female",11,12,6.7209860203
"763","female",8,14,7.1009595674
"764","female",9,14,10.795638562
"765","female",9,14,9.2741653251
"766","female",8,12,4.0783344424
"767","female",10,12,5.8182263596
"768","female",7,14,7.1349828515
"769","female",10,12,3.8996490316
"770","female",8,14,8.8464260439
"771","female",11,12,4.2871141597
"772","female",9,14,20.99811017
"773","female",9,14,6.6302906459
"774","female",3,15,3.9808917197
"775","female",6,12,2.6951029979
"776","female",8,14,7.6555609995
"777","female",10,12,6.8488459695
"778","female",11,12,5.5732484076
"779","female",9,12,0.6687062206
"780","female",11,12,5.2531354652
"781","female",8,14,8.0820520715
"782","female",9,12,3.3458078267
"783","female",10,12,10.148102603
"784","female",10,12,7.3493385595
"785","female",12,7,3.0622243998
"786","female",11,12,2.9292202741
"787","female",8,12,4.1588421783
"788","female",11,12,7.1299553189
"789","female",7,14,5.3895149437
"790","female",7,12,1.0919017288
"791","female",9,14,4.5933365997
