"","gender","wage"
"1","female",6.3152956461
"2","female",5.4797699786
"4","female",4.5933365997
"5","female",2.4181574607
"6","female",2.0940581101
"7","female",5.5120039196
"8","female",3.5484271597
"10","female",3.8277804998
"11","female",6.7368936796
"12","female",12.861342479
"13","female",7.6555609995
"15","female",6.1056621468
"16","female",8.2680058795
"17","female",1.8624054829
"19","female",4.7634601775
"20","female",6.3805955861
"21","female",5.6311238472
"23","female",1.2237382772
"24","female",1.3456535391
"25","female",0.7511116452
"26","female",11.330230279
"27","female",3.8947576562
"28","female",2.9985152513
"29","female",3.2678961879
"30","female",1.3551971812
"31","female",4.2871141597
"32","female",7.6249387555
"33","female",4.4437861058
"34","female",1.1342814763
"35","female",9.0641842234
"36","female",3.9808917197
"37","female",3.4507052379
"38","female",8.0967289215
"39","female",8.7352138308
"40","female",7.2758451739
"41","female",5.5120039196
"42","female",9.786358811
"43","female",7.0431161195
"45","female",4.0087301234
"46","female",3.6121512769
"48","female",5.8182263596
"49","female",2.2747952684
"50","female",5.4478926684
"51","female",2.4035572648
"52","female",9.0335619794
"53","female",4.9740959419
"54","female",9.3276123977
"55","female",5.8734467996
"56","female",3.2832096658
"57","female",2.1435570799
"58","female",2.5605735685
"59","female",9.1866731994
"60","female",2.8351910828
"61","female",5.8976173626
"62","female",2.5332947307
"63","female",8.2680058795
"64","female",14.102051849
"67","female",3.3777263077
"68","female",3.1847133758
"70","female",2.3189660503
"71","female",3.387992953
"73","female",5.8182263596
"74","female",5.3588926997
"76","female",5.5996360328
"77","female",3.8277804998
"78","female",8.0713228206
"79","female",3.9439174932
"80","female",6.3455414013
"81","female",5.4836124351
"82","female",6.9801937004
"83","female",10.047012436
"84","female",5.5120039196
"85","female",6.2556869882
"86","female",3.2344745223
"88","female",11.091041607
"89","female",5.1844171234
"90","female",5.1366344771
"91","female",4.241819428
"92","female",3.9028350194
"93","female",6.7803575098
"94","female",1.0261854211
"95","female",4.593064402
"97","female",7.3493385595
"98","female",4.5933365997
"99","female",4.7245747883
"100","female",4.8172135096
"101","female",8.5304822566
"102","female",6.195187114
"103","female",4.7046902142
"104","female",5.083341382
"105","female",5.790387956
"106","female",5.103707333
"107","female",6.9908342396
"108","female",4.3162052915
"109","female",7.7100274414
"110","female",5.7109839017
"111","female",1.9819297555
"112","female",5.8175870643
"113","female",3.6746692798
"114","female",2.7560019598
"115","female",4.9481497078
"116","female",3.9808917197
"117","female",4.1571449409
"118","female",4.7444519565
"119","female",6.6136220264
"120","female",2.7375759677
"121","female",5.2495275425
"122","female",3.9851788339
"123","female",7.9617834395
"124","female",6.1182562326
"125","female",3.1429922399
"126","female",6.1244487996
"127","female",4.8621578256
"129","female",2.3810941127
"130","female",3.6746692798
"131","female",6.984020561
"132","female",12.248897599
"133","female",7.3493385595
"134","female",1.9780828421
"135","female",3.2153356198
"136","female",4.7278219187
"137","female",8.7296711824
"138","female",6.6546249644
"139","female",4.6267022409
"141","female",5.9061957151
"142","female",4.4795968363
"143","female",3.3684468398
"144","female",2.8070390332
"145","female",7.7241182622
"146","female",3.694563081
"147","female",6.498828198
"148","female",2.3891985138
"149","female",4.5933365997
"150","female",4.5933365997
"152","female",2.4560771536
"153","female",7.6555609995
"154","female",3.1649325474
"155","female",4.9425376278
"156","female",3.6746692798
"158","female",9.7991180794
"159","female",7.5826508948
"160","female",2.9903411979
"161","female",4.2871141597
"163","female",1.2132241432
"164","female",6.1244487996
"165","female",7.1463085564
"167","female",2.1435570799
"168","female",1.9598236159
"169","female",4.32211101
"170","female",0.1028907398
"172","female",7.9617834395
"173","female",6.5739496289
"176","female",6.9107704357
"177","female",4.4479237092
"179","female",4.7230918709
"180","female",3.9317449084
"182","female",3.5385704176
"183","female",2.87054786
"185","female",4.1340029397
"186","female",1.5329546935
"187","female",2.4497795198
"189","female",4.0429136911
"191","female",5.1087252083
"193","female",8.2680058795
"194","female",3.2153356198
"195","female",4.9146811355
"196","female",5.639596603
"197","female",4.303666724
"198","female",4.5933365997
"199","female",2.7186577598
"200","female",4.4053672057
"202","female",7.9617834395
"204","female",9.6096961834
"205","female",0.9312027415
"207","female",3.5107076584
"208","female",3.9808917197
"209","female",5.5120039196
"210","female",2.9488086813
"211","female",4.5933365997
"213","female",3.0421142694
"214","female",3.5783296357
"215","female",5.2037800258
"216","female",2.6154650912
"217","female",2.7997480227
"218","female",6.5486530455
"221","female",7.8340542934
"222","female",6.2784349409
"223","female",4.5933365997
"224","female",6.4306712396
"225","female",5.247725439
"226","female",12.535891451
"227","female",2.2798842959
"228","female",7.6555609995
"229","female",4.8995590397
"231","female",7.3493385595
"244","female",4.385411563
"246","female",2.8172464478
"253","female",4.8131688299
"267","female",7.9617834395
"271","female",6.4306712396
"277","female",4.2871141597
"278","female",3.7555582262
"281","female",5.4082564263
"282","female",5.1366344771
"289","female",5.6651151396
"291","female",3.1847133758
"309","female",12.248897599
"315","female",5.1445369917
"316","female",5.2086433716
"317","female",6.451247451
"318","female",4.5933365997
"319","female",3.8964682412
"320","female",5.0179307392
"321","female",5.7569818716
"323","female",5.0906418422
"324","female",5.8674350834
"325","female",4.6083707763
"328","female",7.1237009722
"329","female",8.5495661095
"330","female",10.411562959
"331","female",3.0330603579
"332","female",5.9713375796
"334","female",2.2568834947
"335","female",5.6617126681
"337","female",5.9021715073
"338","female",2.8784909358
"339","female",3.7103456805
"340","female",7.6471356697
"341","female",4.4897275035
"342","female",4.2194335602
"343","female",6.1244487996
"344","female",3.9808917197
"346","female",3.3868201862
"347","female",1.6543965589
"348","female",8.9327326394
"349","female",5.1366344771
"350","female",3.9808917197
"352","female",8.1731582211
"353","female",7.593266606
"354","female",10.419403648
"355","female",4.491262453
"356","female",4.0143445913
"357","female",3.0896473049
"358","female",3.7733570803
"359","female",5.9713375796
"360","female",3.821656051
"361","female",5.8182263596
"362","female",4.0059287746
"363","female",5.5120039196
"364","female",6.7368936796
"365","female",9.4361877801
"366","female",7.0431161195
"367","female",7.3065743285
"368","female",6.6494015539
"370","female",7.6555609995
"371","female",7.6072100879
"372","female",7.2741748697
"373","female",3.3684468398
"374","female",2.8708353748
"375","female",5.6962353063
"376","female",6.2704201181
"378","female",11.452719255
"379","female",1.2489072062
"380","female",5.0726044074
"381","female",7.0147871714
"382","female",6.4306712396
"383","female",6.7368936796
"384","female",3.6746692798
"386","female",7.4832849318
"388","female",3.2920013231
"389","female",5.0593272692
"390","female",3.0622243998
"392","female",3.6428749569
"393","female",3.4616449737
"394","female",4.5933365997
"395","female",6.8593826556
"396","female",5.1924674605
"397","female",9.0723661982
"398","female",7.9617834395
"400","female",14.698677119
"401","female",0.428711416
"403","female",7.3493385595
"404","female",5.0551005965
"405","female",5.1848808873
"407","female",4.9852787651
"409","female",0.4747398821
"410","female",7.0929028414
"411","female",2.7322228697
"412","female",4.0227958431
"413","female",4.9358765258
"415","female",3.3093661681
"416","female",5.3737099145
"417","female",4.7574718275
"420","female",3.2663726931
"423","female",4.1571268721
"424","female",6.7368936796
"427","female",3.9808917197
"429","female",5.3744943977
"432","female",3.3684468398
"433","female",5.7511753965
"435","female",2.7746776749
"438","female",7.0122129375
"439","female",8.1659317328
"441","female",2.370754374
"443","female",3.3684468398
"444","female",6.1244487996
"445","female",4.5933365997
"447","female",5.9713375796
"468","female",8.0978823017
"472","female",5.2764481966
"481","female",4.6834020232
"513","female",8.9825249061
"514","female",7.7025625833
"515","female",3.6396724295
"516","female",2.6710499281
"517","female",5.6140780663
"518","female",5.1113311567
"519","female",5.3973274524
"520","female",2.365304364
"521","female",7.0194928264
"522","female",4.5267665041
"523","female",9.624133828
"524","female",7.0914670311
"525","female",4.5495905369
"526","female",5.5201698514
"527","female",2.5225452482
"528","female",10.557060914
"529","female",7.6993070624
"530","female",6.0268480219
"531","female",5.0417626002
"532","female",5.010365193
"534","female",3.7784734967
"535","female",4.491262453
"537","female",6.1703821656
"538","female",12.248897599
"539","female",3.9808917197
"541","female",4.4317494412
"542","female",3.0622243998
"543","female",2.5077992981
"544","female",3.1070374398
"545","female",6.6348195329
"546","female",6.0251334137
"547","female",5.6969622734
"548","female",12.312036247
"549","female",3.8901222017
"550","female",2.7560019598
"551","female",5.1751592357
"553","female",4.184513117
"554","female",3.9352151157
"555","female",4.382633086
"556","female",10.899087528
"557","female",7.3961922662
"558","female",6.4306712396
"560","female",6.8243858053
"561","female",3.6053358971
"562","female",5.6927971477
"563","female",2.4115017148
"565","female",0.4258112592
"566","female",3.0622243998
"567","female",2.4566932908
"568","female",6.7368936796
"569","female",12.669745799
"570","female",2.4126616483
"571","female",2.5735057582
"572","female",9.8344211296
"573","female",0.6144141561
"574","female",6.6160240102
"575","female",15.127388535
"576","female",9.3927030438
"577","female",4.9608035277
"578","female",4.8932855966
"579","female",2.211606511
"580","female",3.3684468398
"581","female",5.5271885034
"582","female",7.5456271436
"583","female",5.1328713749
"584","female",9.3668040465
"585","female",5.9323092294
"586","female",3.7945521073
"587","female",3.8996490316
"588","female",8.5742283195
"589","female",6.2775600196
"590","female",3.6746692798
"591","female",1.1961364792
"592","female",3.0622243998
"593","female",5.7124903602
"594","female",6.7924085572
"595","female",3.116157902
"596","female",7.5636942675
"597","female",3.8496535312
"598","female",5.3725249076
"599","female",3.0547250747
"600","female",9.5903300521
"601","female",12.395985811
"602","female",5.925048141
"603","female",4.948500251
"604","female",3.9196472317
"605","female",3.0622243998
"606","female",3.2685216225
"607","female",11.15418936
"608","female",2.9856687898
"609","female",6.1030132288
"610","female",4.1449631789
"612","female",2.9890654551
"613","female",6.2729202857
"614","female",5.3674944536
"615","female",4.3711752217
"616","female",4.4096031357
"619","female",6.7368936796
"620","female",0.9621490561
"621","female",6.5327453862
"622","female",5.5028172464
"625","female",6.5550457686
"626","female",4.7770700637
"627","female",4.9631896766
"628","female",6.1244487996
"629","female",6.7082260469
"630","female",6.0938265556
"631","female",8.9171974522
"632","female",5.2588758998
"633","female",3.0219907946
"636","female",5.5120039196
"637","female",3.1070374398
"638","female",8.0830288726
"640","female",5.8182263596
"641","female",4.9307146543
"642","female",4.4136348214
"643","female",7.4173205482
"644","female",3.6746692798
"645","female",5.8182263596
"646","female",3.2235513438
"648","female",1.0158575361
"650","female",3.5850431998
"652","female",0.7729886834
"653","female",2.1373915274
"655","female",4.3051584629
"657","female",10.128063739
"658","female",4.444599986
"659","female",4.7464478197
"660","female",5.9158762399
"661","female",5.3106215751
"662","female",8.6984494628
"663","female",15.311121999
"664","female",2.8100412139
"665","female",8.0223293212
"666","female",7.8723251986
"667","female",12.948834605
"668","female",3.5276825086
"669","female",7.1700863995
"670","female",8.3598726115
"671","female",7.111342906
"672","female",11.18476047
"673","female",8.5742283195
"674","female",2.9973772949
"675","female",9.3178656763
"677","female",2.1231422505
"678","female",2.3945213352
"679","female",7.1432823382
"680","female",5.9028226736
"681","female",7.7361458521
"682","female",3.651263743
"683","female",2.6650321136
"684","female",32.497400234
"685","female",8.4211170995
"686","female",6.0884226302
"687","female",1.5596049832
"688","female",6.0325820676
"689","female",5.8794708476
"690","female",8.7273395394
"691","female",2.7560019598
"692","female",11.777786153
"693","female",7.6629607191
"694","female",6.87701603
"695","female",7.0431161195
"696","female",5.854252529
"697","female",0.91121985
"698","female",1.6331863466
"699","female",9.0165496216
"700","female",2.7014275422
"701","female",7.9268122092
"702","female",5.8182263596
"703","female",8.2719827943
"705","female",8.2935244161
"707","female",6.4245873501
"708","female",7.2831283022
"709","female",5.0685093514
"710","female",8.3698117629
"711","female",7.232505774
"712","female",5.1753277034
"713","female",4.1082473888
"714","female",4.2871141597
"715","female",8.7160576601
"716","female",6.7368936796
"717","female",4.1739362723
"719","female",9.1866731994
"720","female",7.5191252589
"721","female",3.0115492915
"722","female",4.1449631789
"723","female",16.003584803
"725","female",11.024007839
"727","female",7.6555609995
"728","female",6.4306712396
"729","female",4.0727584517
"730","female",1.9035068453
"731","female",6.0504053772
"732","female",2.6265677326
"733","female",3.7913254474
"734","female",5.092407612
"735","female",7.3065743285
"736","female",4.4855117969
"737","female",12.283894449
"738","female",2.9856687898
"739","female",15.311121999
"740","female",1.2156505914
"741","female",4.3967510941
"742","female",3.5521803038
"743","female",6.1863972472
"744","female",2.562413061
"747","female",2.578715284
"748","female",4.2062252133
"750","female",1.5923566879
"751","female",2.7408197434
"752","female",4.4402253797
"753","female",1.6939964765
"754","female",6.3694267516
"755","female",1.9200974615
"756","female",7.2624375968
"757","female",3.6746692798
"758","female",3.6746692798
"759","female",3.821656051
"760","female",7.6555609995
"761","female",9.6708573715
"762","female",6.7209860203
"763","female",7.1009595674
"764","female",10.795638562
"765","female",9.2741653251
"766","female",4.0783344424
"767","female",5.8182263596
"768","female",7.1349828515
"769","female",3.8996490316
"770","female",8.8464260439
"771","female",4.2871141597
"772","female",20.99811017
"773","female",6.6302906459
"774","female",3.9808917197
"775","female",2.6951029979
"776","female",7.6555609995
"777","female",6.8488459695
"778","female",5.5732484076
"779","female",0.6687062206
"780","female",5.2531354652
"781","female",8.0820520715
"782","female",3.3458078267
"783","female",10.148102603
"784","female",7.3493385595
"786","female",2.9292202741
"787","female",4.1588421783
"788","female",7.1299553189
"789","female",5.3895149437
"790","female",1.0919017288
"791","female",4.5933365997
"792","female",5.0526702597
"795","female",6.1244487996
"796","female",30.862170858
"797","female",9.1866731994
"798","female",10.313190984
"799","female",6.7368936796
"800","female",7.6963906582
"801","female",16.971826768
"802","female",6.8243858053
"803","female",4.5066698714
"804","female",4.1878493932
"805","female",3.1756401183
"806","female",5.2057814797
"807","female",2.1963540523
"808","female",4.3823577084
"809","female",4.5933365997
"810","female",4.5933365997
"812","female",3.9156311997
"814","female",5.8362421582
"816","female",8.7579617834
"817","female",10.795638562
"820","female",2.9125701065
"821","female",7.1130654079
"822","female",2.113079965
"823","female",7.4751218601
"824","female",1.1905470564
"825","female",7.4126949264
"826","female",2.5477707006
"827","female",10.464058235
"828","female",7.4309978769
"829","female",3.3760212464
"830","female",6.1244487996
"832","female",6.7368936796
"833","female",4.7120759132
"836","female",15.311121999
"837","female",2.3246083035
"838","female",7.1962273395
"839","female",9.7378735914
"840","female",3.1847133758
"841","female",9.2758642013
"842","female",6.1621542891
"844","female",7.9617834395
"846","female",2.7639749645
"848","female",2.7173322319
"850","female",2.7560019598
"851","female",4.5593459089
"852","female",3.0350959689
"853","female",3.9808917197
"854","female",6.1244487996
"855","female",12.861342479
"856","female",7.8392944635
"858","female",13.998740113
"859","female",2.9193205945
"860","female",10.411562959
"861","female",5.5290162774
"862","female",4.4096031357
"863","female",4.8995590397
"864","female",5.6712395884
"866","female",7.2517192618
"867","female",8.9570063694
"868","female",11.636452719
"869","female",3.2764540903
"870","female",3.6307807216
"872","female",5.5640969324
"873","female",6.1351746294
"874","female",7.2517192618
"875","female",14.649095565
"876","female",10.311001022
"877","female",5.5120039196
"878","female",1.1362041425
"879","female",5.4284887087
"880","female",13.178124314
"881","female",8.7894573389
"882","female",6.0251334137
"883","female",2.8847041447
"884","female",4.9487291045
"885","female",5.7263596276
"886","female",4.8995590397
"887","female",3.9808917197
"888","female",7.8392944635
"889","female",8.2796633725
"890","female",6.4994150526
"891","female",1.7249894352
"892","female",4.8995590397
"893","female",12.132241432
"894","female",3.1222680155
"896","female",8.5742283195
"897","female",6.4306712396
"898","female",7.0063694268
"899","female",5.4346644638
"900","female",8.9623180881
"901","female",10.978937464
"902","female",8.8192062714
"903","female",3.2386915686
"904","female",5.6051867939
"905","female",7.1812164356
"906","female",6.1556006246
"907","female",6.7368936796
"908","female",7.8739050351
"909","female",5.5455208036
"910","female",7.9617834395
"911","female",2.3873413612
"912","female",3.0622243998
"913","female",1.0686957637
"914","female",4.1521686777
"915","female",4.0312827542
"916","female",5.6533373535
"917","female",16.472655392
"919","female",4.2819675641
"920","female",9.4783136184
"921","female",1.7402805332
"922","female",3.3684468398
"923","female",5.4268658422
"924","female",5.2057814797
"925","female",3.5336625529
"926","female",9.1866731994
"928","female",1.3054079864
"930","female",4.4096031357
"932","female",8.7119818791
"933","female",4.0873326748
"934","female",5.6600356205
"935","female",8.5742283195
"936","female",2.6580810648
"937","female",2.441729861
"938","female",7.2956581318
"939","female",7.9617834395
"940","female",1.5923566879
"941","female",7.1962273395
"942","female",5.1681752151
"943","female",8.3151785269
"944","female",3.0504291651
"945","female",1.3965454899
"946","female",2.8221056189
"947","female",3.2587764776
"948","female",5.5120039196
"949","female",4.7426855931
"950","female",5.790387956
"951","female",9.8598726115
"952","female",3.6746692798
"953","female",2.8576690311
"954","female",3.9439174932
"955","female",2.148204638
"957","female",8.5742283195
"958","female",5.8078903881
"959","female",4.3240720404
"960","female",6.7341956845
"962","female",4.1340029397
"963","female",4.5933365997
"965","female",7.4358013661
"966","female",6.833101496
"967","female",8.9171974522
"968","female",8.2839365266
"969","female",7.3519091571
"970","female",0.6824385805
"971","female",3.7031550881
"972","female",5.8505117926
"973","female",7.1513024906
"974","female",7.1615858382
"975","female",1.185377187
"976","female",5.2406675804
"977","female",3.7809382544
"978","female",3.5265974017
"979","female",7.6555609995
"980","female",4.8085103235
"981","female",5.3391207478
"982","female",3.7436630703
"983","female",4.4708476237
"984","female",5.7222235377
"985","female",1.7292561317
"986","female",1.3339113616
"987","female",3.3463256964
"988","female",4.9806363752
"989","female",5.6651151396
"991","female",0.6757069139
"992","female",8.9303302909
"993","female",3.1154804763
"994","female",6.0868241995
"995","female",3.0622243998
"996","female",6.0387341663
"997","female",6.5225379716
"998","female",5.2057814797
"999","female",2.3331233522
"1001","female",6.6656791586
"1002","female",5.2789036865
"1003","female",5.639596603
"1004","female",6.8043109748
"1005","female",5.5120039196
"1006","female",7.9617834395
"1007","female",12.552361278
"1008","female",9.1101856388
"1010","female",6.2953636498
"1011","female",6.175344496
"1012","female",6.1244487996
"1013","female",3.4996850283
"1014","female",3.3665046256
"1015","female",6.1223052425
"1016","female",5.2980985388
"1017","female",4.3126326964
"1018","female",5.0745432911
"1019","female",3.821656051
"1020","female",6.2775600196
"1021","female",8.7273395394
"1022","female",5.2608834526
"1023","female",10.942348522
"1024","female",5.5732484076
"1025","female",9.3302149682
"1026","female",7.9141080896
"1027","female",5.3895149437
"1028","female",2.9091131798
"1030","female",4.9927016985
"1031","female",2.2456312265
"1032","female",3.3684468398
"1033","female",7.3493385595
"1034","female",4.0589484201
"1036","female",2.4497795198
"1037","female",2.7186577598
"1038","female",0.6798238733
"1039","female",5.237084218
"1040","female",3.1790365249
"1041","female",4.8995590397
"1043","female",2.564181462
"1044","female",11.373976342
"1045","female",5.7039642552
"1046","female",8.0098424945
"1048","female",7.4063101763
"1049","female",2.8365868125
"1050","female",3.6676161717
"1051","female",2.9856687898
"1052","female",4.6545810877
"1053","female",2.7890079713
"1054","female",2.1021210401
"1055","female",4.0904575469
"1056","female",8.6481440808
"1058","female",2.5477707006
"1060","female",7.6555609995
"1062","female",1.7498425142
"1063","female",5.5120039196
"1064","female",3.9808917197
"1065","female",4.0146689828
"1066","female",3.9705517413
"1067","female",3.5385704176
"1068","female",4.4626556858
"1069","female",6.1244487996
"1070","female",4.0882629884
"1071","female",1.707621113
"1072","female",6.7368936796
"1073","female",0.5941629432
"1074","female",1.4519969798
"1075","female",9.7991180794
"1076","female",5.6971616741
"1077","female",16.780989711
"1078","female",2.8626637086
"1079","female",5.790387956
"1080","female",7.5024497795
"1081","female",3.5498397501
"1082","female",2.4146942192
"1085","female",1.1708505058
"1086","female",7.3493385595
"1089","female",3.3523298693
"1090","female",5.9713375796
"1091","female",4.8995590397
"1092","female",1.6379755552
"1093","female",5.9713375796
"1094","female",2.7522214359
"1095","female",12.786804018
"1096","female",3.3684468398
"1097","female",3.6746692798
"1098","female",2.6832904188
"1099","female",2.895193978
"1100","female",11.207202495
"1101","female",4.1040120822
"1102","female",2.7981630204
"1103","female",2.1638797429
"1104","female",3.0510340489
"1105","female",6.1712956798
"1106","female",9.6832501291
"1107","female",8.0492755652
"1109","female",6.873482106
"1110","female",3.8277804998
"1111","female",10.294023033
"1112","female",13.087863188
"1113","female",3.4066626062
"1114","female",5.2768155349
"1115","female",4.5495905369
"1116","female",3.7031550881
"1117","female",3.5840825773
"1119","female",4.5495905369
"1121","female",6.0661207158
"1122","female",7.0640592439
"1123","female",2.9034423939
"1124","female",8.3343014593
"1125","female",1.9904458599
"1129","female",5.0246057901
"1130","female",5.516059846
"1131","female",5.9713375796
"1132","female",7.0147871714
"1133","female",5.245410266
"1134","female",4.4402253797
"1136","female",6.5664193315
"1137","female",7.3807459893
"1138","female",2.1755157785
"1139","female",4.8995590397
"1141","female",3.9808917197
"1144","female",5.1110293691
"1145","female",2.9217553906
"1146","female",7.3493385595
"1147","female",10.100770035
"1148","female",6.5010264779
"1149","female",8.2680058795
"1150","female",2.7773663161
"1151","female",5.8087997887
"1152","female",4.5933365997
"1153","female",11.008885743
"1154","female",7.7285931295
"1155","female",1.9610304038
"1156","female",7.6644554272
"1157","female",4.2862898732
"1158","female",2.2480329712
"1159","female",6.1024447919
"1162","female",4.0621344079
"1163","female",5.5120039196
"1164","female",5.7096454945
"1165","female",6.4148653814
"1167","female",10.411562959
"1171","female",3.334778404
"1174","female",4.069921247
"1176","female",5.6491589815
"1177","female",5.8182263596
"1178","female",2.2966682999
"1180","female",1.4928343949
"1181","female",2.5683172385
"1182","female",5.5953968535
"1183","female",10.615711253
"1184","female",8.2046853071
"1185","female",1.2248897599
"1186","female",11.005994755
"1187","female",6.6148150519
"1189","female",7.1671631745
"1190","female",7.6555609995
"1191","female",4.1513954619
"1192","female",9.5983722576
"1193","female",6.4861779548
"1194","female",9.4222289225
"1195","female",8.0440521547
"1196","female",4.8995590397
"1197","female",4.8995590397
"1198","female",4.6584903103
"1199","female",3.5092098468
"1201","female",3.0696032538
"1202","female",3.9347810048
"1203","female",3.0622243998
"1204","female",6.1244487996
"1205","female",4.8995590397
"1206","female",5.3588926997
"1207","female",6.250372046
"1208","female",3.9808917197
"1209","female",5.8644338378
"1211","female",1.6193457843
"1212","female",5.1644000689
"1213","female",3.928280816
"1214","female",4.0867082732
"1217","female",3.1743397166
"1218","female",3.7705169035
"1220","female",7.9617834395
"1221","female",6.8488459695
"1222","female",5.1408830832
"1223","female",9.5678084251
"1225","female",3.9196472317
"1226","female",7.6555609995
"1227","female",6.7368936796
"1229","female",8.2104658176
"1231","female",3.6746692798
"1232","female",0.6898296121
"1233","female",1.8219184072
"1234","female",6.6494015539
"1236","female",2.5022747953
"1241","female",8.3685898926
"1243","female",4.7127232653
"1244","female",3.5262163064
"1245","female",4.7035766781
"1247","female",4.838652919
"1249","female",6.1244487996
"1250","female",8.8804507594
"1251","female",7.6555609995
"1253","female",3.15466891
"1254","female",3.4198264438
"1255","female",4.8859415882
"1256","female",0.5197900048
"1257","female",4.2871141597
"1258","female",3.0622243998
"1259","female",4.693261817
